Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.015
CodechalDecode::Execute,600,0.502,0.357,6.810
CodechalDecodeHevcG12::DecodeStateLevel,1200,0.179,0.111,4.643
CodechalDecodeHevcG12::SetFrameStates,600,0.047,0.023,3.494
CreateVideoDecoder_D3D11_1,1,23.202,23.202,23.202
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,62.695,62.695,62.695
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.002,0.007
VideoDecoderEndFrame_D3D11_1,600,0.062,0.035,0.343
VideoDecoderSubmitBuffers_D3D11_1,600,0.604,0.374,6.834
