Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.002,0.001,0.090
CodechalDecode::Execute,2002,0.272,0.218,2.201
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.082,0.029,1.841
CodechalDecodeHevcG12::SetFrameStates,2002,0.009,0.006,0.358
CreateVideoDecoder_D3D11_1,4,25.911,18.739,32.200
DestroyVideoDecoder_D3D11_1,4,47.439,0.000,159.294
DxvaEncodeHEVC_Create,3,28.131,23.719,32.019
DxvaEncodeHEVC_EndFrame,2000,0.001,0.000,0.015
DxvaEncodeHEVC_Execute,4001,0.525,0.001,108.495
First Frame Time,1,183.311,183.311,183.311
HEVC_QueryStatusReport,1999,0.028,0.012,1.974
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.003,0.001,0.015
VideoDecoderEndFrame_D3D11_1,4002,0.032,0.002,0.699
VideoDecoderSubmitBuffers_D3D11_1,2002,0.292,0.230,2.217
