Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.001,0.001,0.024
CodechalDecode::Execute,2002,0.278,0.229,1.165
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.084,0.027,0.858
CodechalDecodeHevcG12::SetFrameStates,2002,0.010,0.006,0.386
CreateVideoDecoder_D3D11_1,4,18.309,15.036,22.225
DestroyVideoDecoder_D3D11_1,4,45.714,0.000,152.843
DxvaEncodeHEVC_Create,3,19.234,16.785,22.048
DxvaEncodeHEVC_EndFrame,2000,0.001,0.001,0.013
DxvaEncodeHEVC_Execute,4001,0.504,0.001,24.866
First Frame Time,1,148.842,148.842,148.842
HEVC_QueryStatusReport,1999,0.025,0.012,0.872
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.003,0.001,0.013
VideoDecoderEndFrame_D3D11_1,4002,0.033,0.002,0.672
VideoDecoderSubmitBuffers_D3D11_1,2002,0.298,0.242,1.180
