Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.049
CodechalDecode::Execute,600,0.922,0.464,18.533
CodechalDecodeVp9::SetFrameStates,600,0.011,0.004,1.058
CodechalDecodeVp9G12::DecodePrimitiveLevel,1800,0.029,0.015,0.267
CodechalDecodeVp9G12::DecodeStateLevel,1800,0.260,0.101,18.095
CreateVideoDecoder_D3D11_1,1,21.068,21.068,21.068
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,75.266,75.266,75.266
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.001,0.012
VideoDecoderEndFrame_D3D11_1,600,0.061,0.039,0.093
VideoDecoderSubmitBuffers_D3D11_1,600,0.961,0.479,18.590
