Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.002,0.001,0.043
CodechalDecode::Execute,2002,0.516,0.218,1.647
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.091,0.029,1.145
CodechalDecodeHevcG12::SetFrameStates,2002,0.012,0.006,1.005
CreateVideoDecoder_D3D11_1,4,21.247,17.229,26.019
DestroyVideoDecoder_D3D11_1,4,46.227,0.000,156.039
DxvaEncodeHEVC_Create,3,22.412,18.682,25.824
DxvaEncodeHEVC_EndFrame,2000,0.001,0.001,0.013
DxvaEncodeHEVC_Execute,3948,0.370,0.001,26.947
First Frame Time,1,166.502,166.502,166.502
HEVC_QueryStatusReport,1946,0.023,0.011,0.880
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.003,0.001,0.043
VideoDecoderEndFrame_D3D11_1,4002,0.034,0.002,0.182
VideoDecoderSubmitBuffers_D3D11_1,2002,0.550,0.233,2.057
