Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.019
CodechalDecode::Execute,600,0.234,0.167,2.611
CodechalDecodeHevcG12::DecodeStateLevel,600,0.115,0.091,0.383
CodechalDecodeHevcG12::SetFrameStates,600,0.041,0.018,2.344
CreateVideoDecoder_D3D11_1,1,17.032,17.032,17.032
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,61.485,61.485,61.485
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.002,0.014
VideoDecoderEndFrame_D3D11_1,600,0.063,0.036,0.107
VideoDecoderSubmitBuffers_D3D11_1,600,0.272,0.180,2.632
