Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.021
CodechalDecode::Execute,600,0.460,0.362,3.016
CodechalDecodeHevcG12::DecodeStateLevel,1200,0.161,0.108,2.321
CodechalDecodeHevcG12::SetFrameStates,600,0.040,0.022,0.705
CreateVideoDecoder_D3D11_1,1,21.494,21.494,21.494
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,61.655,61.655,61.655
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.003,0.002,0.597
VideoDecoderEndFrame_D3D11_1,600,0.063,0.038,0.190
VideoDecoderSubmitBuffers_D3D11_1,600,0.558,0.379,3.033
