Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,11708,0.001,0.001,0.943
CodechalDecode::Execute,11708,0.200,0.171,1.199
CodechalDecodeHevcG12::DecodeStateLevel,23416,0.060,0.023,0.720
CodechalDecodeHevcG12::SetFrameStates,11708,0.006,0.005,0.534
CreateVideoDecoder_D3D11_1,1,15.669,15.669,15.669
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,51.003,51.003,51.003
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,11708,0.002,0.001,0.939
VideoDecoderEndFrame_D3D11_1,11708,0.055,0.031,0.146
VideoDecoderSubmitBuffers_D3D11_1,11708,0.311,0.182,1.218
