Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.002,0.001,0.023
CodechalDecode::Execute,2002,0.270,0.218,1.428
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.081,0.029,1.200
CodechalDecodeHevcG12::SetFrameStates,2002,0.010,0.006,0.351
CreateVideoDecoder_D3D11_1,4,18.361,15.511,21.683
DestroyVideoDecoder_D3D11_1,4,45.801,0.000,154.961
DxvaEncodeHEVC_Create,3,19.163,16.572,21.529
DxvaEncodeHEVC_EndFrame,2000,0.001,0.000,0.013
DxvaEncodeHEVC_Execute,3997,0.472,0.001,37.913
First Frame Time,1,145.548,145.548,145.548
HEVC_QueryStatusReport,1995,0.016,0.010,0.448
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.003,0.002,0.014
VideoDecoderEndFrame_D3D11_1,4002,0.031,0.002,0.693
VideoDecoderSubmitBuffers_D3D11_1,2002,0.292,0.234,1.442
