Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.002,0.001,0.020
CodechalDecode::Execute,2002,0.270,0.213,2.304
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.080,0.029,1.998
CodechalDecodeHevcG12::SetFrameStates,2002,0.010,0.006,0.407
CreateVideoDecoder_D3D11_1,4,22.031,15.290,25.437
DestroyVideoDecoder_D3D11_1,4,46.470,0.000,157.196
DxvaEncodeHEVC_Create,3,24.116,23.118,25.267
DxvaEncodeHEVC_EndFrame,2000,0.001,0.000,0.012
DxvaEncodeHEVC_Execute,3989,0.506,0.001,93.957
First Frame Time,1,162.288,162.288,162.288
HEVC_QueryStatusReport,1987,0.019,0.011,2.325
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.003,0.001,0.015
VideoDecoderEndFrame_D3D11_1,4002,0.032,0.002,0.632
VideoDecoderSubmitBuffers_D3D11_1,2002,0.292,0.225,2.321
