Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.002,0.001,0.024
CodechalDecode::Execute,2002,0.412,0.204,102.177
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.081,0.028,2.009
CodechalDecodeHevcG12::SetFrameStates,2002,0.013,0.006,0.922
CreateVideoDecoder_D3D11_1,4,21.227,12.554,26.672
DestroyVideoDecoder_D3D11_1,4,45.043,0.000,151.411
DxvaEncodeHEVC_Create,3,23.963,22.586,26.515
DxvaEncodeHEVC_EndFrame,2000,0.001,0.001,0.019
DxvaEncodeHEVC_Execute,3971,0.327,0.001,25.416
First Frame Time,1,158.945,158.945,158.945
HEVC_QueryStatusReport,1969,0.024,0.011,3.988
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.003,0.001,0.036
VideoDecoderEndFrame_D3D11_1,4002,0.031,0.002,0.241
VideoDecoderSubmitBuffers_D3D11_1,2002,0.435,0.217,102.200
