Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.014
CodechalDecode::Execute,600,0.512,0.386,12.024
CodechalDecodeHevcG12::DecodeStateLevel,1800,0.126,0.060,4.930
CodechalDecodeHevcG12::SetFrameStates,600,0.035,0.006,5.114
CreateVideoDecoder_D3D11_1,1,14.057,14.057,14.057
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,58.798,58.798,58.798
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.001,0.031
VideoDecoderEndFrame_D3D11_1,600,0.056,0.035,0.138
VideoDecoderSubmitBuffers_D3D11_1,600,0.568,0.400,12.042
