Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.002,0.001,0.007
CodechalDecode::Execute,600,0.635,0.472,11.002
CodechalDecodeHevcG12::DecodeStateLevel,1800,0.153,0.068,6.987
CodechalDecodeHevcG12::SetFrameStates,600,0.036,0.007,6.157
CreateVideoDecoder_D3D11_1,4,21.970,15.336,28.375
DestroyVideoDecoder_D3D11_1,4,27.308,0.000,81.034
DxvaEncodeHEVC_Create,3,24.025,21.797,28.205
DxvaEncodeHEVC_EndFrame,600,0.001,0.001,0.010
DxvaEncodeHEVC_Execute,1201,0.324,0.001,32.625
First Frame Time,1,172.529,172.529,172.529
HEVC_QueryStatusReport,599,0.035,0.010,3.840
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.004,0.002,0.043
VideoDecoderEndFrame_D3D11_1,1200,0.031,0.002,0.113
VideoDecoderSubmitBuffers_D3D11_1,600,0.656,0.485,11.020
