Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.016
CodechalDecode::Execute,600,0.594,0.342,38.466
CodechalDecodeHevcG12::DecodeStateLevel,1200,0.193,0.109,13.933
CodechalDecodeHevcG12::SetFrameStates,600,0.117,0.021,16.443
CreateVideoDecoder_D3D11_1,1,20.498,20.498,20.498
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,75.224,75.224,75.224
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.001,0.009
VideoDecoderEndFrame_D3D11_1,600,0.057,0.037,0.114
VideoDecoderSubmitBuffers_D3D11_1,600,0.687,0.356,38.482
