Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,300,0.002,0.001,0.023
CodechalDecode::Execute,300,0.657,0.216,1.275
CodechalDecodeHevcG12::DecodeStateLevel,600,0.088,0.029,0.931
CodechalDecodeHevcG12::SetFrameStates,300,0.014,0.006,0.902
CreateVideoDecoder_D3D11_1,4,20.179,16.909,23.428
DestroyVideoDecoder_D3D11_1,4,16.520,0.000,39.092
DxvaEncodeHEVC_Create,3,21.109,19.012,23.265
DxvaEncodeHEVC_EndFrame,300,0.001,0.000,0.004
DxvaEncodeHEVC_Execute,598,0.493,0.001,16.057
First Frame Time,1,153.902,153.902,153.902
HEVC_QueryStatusReport,296,0.038,0.010,1.683
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,300,0.003,0.002,0.011
VideoDecoderEndFrame_D3D11_1,600,0.031,0.002,0.131
VideoDecoderSubmitBuffers_D3D11_1,300,0.704,0.231,1.946
