Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.002,0.001,0.896
CodechalDecode::Execute,2002,0.514,0.220,1.952
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.087,0.029,1.179
CodechalDecodeHevcG12::SetFrameStates,2002,0.013,0.006,0.931
CreateVideoDecoder_D3D11_1,4,20.139,15.827,24.009
DestroyVideoDecoder_D3D11_1,4,60.017,0.000,209.506
DxvaEncodeHEVC_Create,3,21.422,18.835,23.838
DxvaEncodeHEVC_EndFrame,2000,0.001,0.000,0.015
DxvaEncodeHEVC_Execute,3978,0.375,0.001,25.310
First Frame Time,1,160.756,160.756,160.756
HEVC_QueryStatusReport,1976,0.017,0.011,1.625
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.004,0.002,0.883
VideoDecoderEndFrame_D3D11_1,4002,0.031,0.002,0.677
VideoDecoderSubmitBuffers_D3D11_1,2002,0.543,0.233,1.972
