Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.006
CodechalDecode::Execute,600,0.433,0.337,7.528
CodechalDecodeHevcG12::DecodeStateLevel,1200,0.152,0.107,3.877
CodechalDecodeHevcG12::SetFrameStates,600,0.045,0.020,2.836
CreateVideoDecoder_D3D11_1,1,20.393,20.393,20.393
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,59.001,59.001,59.001
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.001,0.009
VideoDecoderEndFrame_D3D11_1,600,0.055,0.035,0.169
VideoDecoderSubmitBuffers_D3D11_1,600,0.561,0.351,7.543
