Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.002,0.001,0.009
CodechalDecode::Execute,2002,0.276,0.220,1.301
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.081,0.030,1.066
CodechalDecodeHevcG12::SetFrameStates,2002,0.010,0.006,0.437
CreateVideoDecoder_D3D11_1,4,19.571,15.696,22.600
DestroyVideoDecoder_D3D11_1,4,44.774,0.000,152.370
DxvaEncodeHEVC_Create,3,20.707,18.233,22.442
DxvaEncodeHEVC_EndFrame,2000,0.001,0.000,0.017
DxvaEncodeHEVC_Execute,3990,0.470,0.001,24.354
First Frame Time,1,148.162,148.162,148.162
HEVC_QueryStatusReport,1988,0.016,0.011,1.139
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.003,0.002,0.014
VideoDecoderEndFrame_D3D11_1,4002,0.031,0.002,0.667
VideoDecoderSubmitBuffers_D3D11_1,2002,0.300,0.234,1.704
