Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,500,0.001,0.001,0.013
CodechalDecode::Execute,500,0.312,0.192,2.697
CodechalDecodeHevcG12::DecodeStateLevel,500,0.097,0.085,0.314
CodechalDecodeHevcG12::SetFrameStates,500,0.148,0.043,2.495
CreateVideoDecoder_D3D11_1,1,14.722,14.722,14.722
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,57.065,57.065,57.065
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,500,0.002,0.002,0.008
VideoDecoderEndFrame_D3D11_1,500,0.053,0.034,0.083
VideoDecoderSubmitBuffers_D3D11_1,500,0.329,0.208,2.719
