Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,1824,0.001,0.001,0.033
CreateVideoDecoder_D3D11_1,1,19.435,19.435,19.435
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,82.601,82.601,82.601
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,1824,0.005,0.004,0.051
VideoDecoderEndFrame_D3D11_1,1824,0.005,0.004,0.102
VideoDecoderSubmitBuffers_D3D11_1,1824,0.865,0.581,154.907
decode::Av1BasicFeature::Init,1,1.515,1.515,1.515
decode::Av1BasicFeature::Update,1824,0.019,0.004,23.265
decode::Av1DecodePktG12::PackPictureLevelCmds,7296,0.135,0.078,8.740
decode::Av1DecodePktG12::PackTileLevelCmds,7296,0.004,0.003,0.116
decode::Av1DecodePktG12::Submit,7296,0.165,0.101,14.192
decode::Av1PipelineG12::Execute0,1824,0.001,0.000,0.039
decode::Av1PipelineG12::Execute1,1824,0.775,0.533,154.830
decode::Av1PipelineG12::Execute2,1824,0.002,0.001,0.093
decode::Av1PipelineG12::Prepare0,1824,0.002,0.001,0.012
decode::Av1PipelineG12::Prepare1,1824,0.029,0.011,23.282
decode::Av1PipelineG12::Prepare2,1824,0.001,0.001,0.008
