Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.018
CodechalDecode::Execute,600,0.630,0.348,49.372
CodechalDecodeHevcG12::DecodeStateLevel,1200,0.214,0.108,23.535
CodechalDecodeHevcG12::SetFrameStates,600,0.114,0.021,13.748
CreateVideoDecoder_D3D11_1,1,19.181,19.181,19.181
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,79.698,79.698,79.698
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.003,0.001,0.549
VideoDecoderEndFrame_D3D11_1,600,0.054,0.041,0.103
VideoDecoderSubmitBuffers_D3D11_1,600,0.712,0.363,49.391
