Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.012
CodechalDecode::Execute,600,0.523,0.340,14.726
CodechalDecodeHevcG12::DecodeStateLevel,1200,0.180,0.109,7.901
CodechalDecodeHevcG12::SetFrameStates,600,0.071,0.020,5.644
CreateVideoDecoder_D3D11_1,1,15.188,15.188,15.188
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,67.246,67.246,67.246
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.001,0.012
VideoDecoderEndFrame_D3D11_1,600,0.058,0.042,0.126
VideoDecoderSubmitBuffers_D3D11_1,600,0.545,0.354,14.744
