Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.011
CodechalDecode::Execute,600,0.446,0.336,3.840
CodechalDecodeHevcG12::DecodeStateLevel,1200,0.151,0.106,3.342
CodechalDecodeHevcG12::SetFrameStates,600,0.057,0.020,3.230
CreateVideoDecoder_D3D11_1,1,19.181,19.181,19.181
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,58.495,58.495,58.495
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.001,0.009
VideoDecoderEndFrame_D3D11_1,600,0.056,0.034,0.174
VideoDecoderSubmitBuffers_D3D11_1,600,0.500,0.350,3.857
