Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.002,0.001,0.015
CodechalDecode::Execute,2002,0.268,0.208,2.343
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.079,0.029,2.029
CodechalDecodeHevcG12::SetFrameStates,2002,0.010,0.006,0.375
CreateVideoDecoder_D3D11_1,4,24.778,16.127,29.265
DestroyVideoDecoder_D3D11_1,4,45.380,0.000,151.540
DxvaEncodeHEVC_Create,3,27.503,26.692,29.109
DxvaEncodeHEVC_EndFrame,2000,0.001,0.000,0.009
DxvaEncodeHEVC_Execute,3993,0.479,0.001,75.213
First Frame Time,1,178.043,178.043,178.043
HEVC_QueryStatusReport,1991,0.018,0.011,1.655
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.004,0.001,0.028
VideoDecoderEndFrame_D3D11_1,4002,0.031,0.002,0.620
VideoDecoderSubmitBuffers_D3D11_1,2002,0.290,0.222,2.360
