Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.002,0.001,0.059
CodechalDecode::Execute,2002,0.270,0.211,1.814
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.079,0.029,1.513
CodechalDecodeHevcG12::SetFrameStates,2002,0.010,0.006,0.454
CreateVideoDecoder_D3D11_1,4,23.163,16.214,27.273
DestroyVideoDecoder_D3D11_1,4,45.019,0.000,150.651
DxvaEncodeHEVC_Create,3,25.320,23.010,27.109
DxvaEncodeHEVC_EndFrame,2000,0.001,0.000,0.021
DxvaEncodeHEVC_Execute,3994,0.505,0.001,107.815
First Frame Time,1,167.444,167.444,167.444
HEVC_QueryStatusReport,1992,0.019,0.011,2.242
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.003,0.001,0.023
VideoDecoderEndFrame_D3D11_1,4002,0.031,0.002,0.635
VideoDecoderSubmitBuffers_D3D11_1,2002,0.293,0.223,1.840
