Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,300,0.002,0.001,0.009
CodechalDecode::Execute,300,0.320,0.212,1.218
CodechalDecodeHevcG12::DecodeStateLevel,600,0.082,0.028,0.466
CodechalDecodeHevcG12::SetFrameStates,300,0.011,0.006,0.344
CreateVideoDecoder_D3D11_1,4,19.218,15.653,23.808
DestroyVideoDecoder_D3D11_1,4,17.533,0.000,41.777
DxvaEncodeHEVC_Create,3,20.246,16.903,23.653
DxvaEncodeHEVC_EndFrame,300,0.001,0.000,0.006
DxvaEncodeHEVC_Execute,601,0.308,0.002,14.335
First Frame Time,1,153.106,153.106,153.106
HEVC_QueryStatusReport,299,0.029,0.011,1.393
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,300,0.003,0.002,0.012
VideoDecoderEndFrame_D3D11_1,600,0.032,0.002,0.137
VideoDecoderSubmitBuffers_D3D11_1,300,0.342,0.226,1.246
