Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,1824,0.001,0.001,0.549
CreateVideoDecoder_D3D11_1,1,16.959,16.959,16.959
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,78.657,78.657,78.657
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,1824,0.006,0.004,0.571
VideoDecoderEndFrame_D3D11_1,1824,0.006,0.005,0.170
VideoDecoderSubmitBuffers_D3D11_1,1824,2.295,1.754,27.921
decode::Av1BasicFeature::Init,1,1.250,1.250,1.250
decode::Av1BasicFeature::Update,1824,0.014,0.004,14.125
decode::Av1DecodePktG12::PackPictureLevelCmds,29184,0.107,0.075,2.900
decode::Av1DecodePktG12::PackTileLevelCmds,29184,0.003,0.003,0.508
decode::Av1DecodePktG12::Submit,29184,0.132,0.097,12.731
decode::Av1PipelineG12::Execute0,1824,0.001,0.000,0.040
decode::Av1PipelineG12::Execute1,1824,2.236,1.706,27.863
decode::Av1PipelineG12::Execute2,1824,0.002,0.001,0.057
decode::Av1PipelineG12::Prepare0,1824,0.002,0.001,0.008
decode::Av1PipelineG12::Prepare1,1824,0.024,0.011,14.146
decode::Av1PipelineG12::Prepare2,1824,0.002,0.001,0.140
