Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.027
CodechalDecode::Execute,600,0.576,0.407,9.745
CodechalDecodeHevcG12::DecodeStateLevel,1800,0.143,0.064,3.736
CodechalDecodeHevcG12::SetFrameStates,600,0.034,0.007,5.510
CreateVideoDecoder_D3D11_1,1,15.648,15.648,15.648
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,61.236,61.236,61.236
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.002,0.010
VideoDecoderEndFrame_D3D11_1,600,0.066,0.037,0.109
VideoDecoderSubmitBuffers_D3D11_1,600,0.593,0.421,9.832
