Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.002,0.001,0.009
CodechalDecode::Execute,600,0.684,0.507,9.585
CodechalDecodeHevcG12::DecodeStateLevel,1800,0.172,0.073,4.436
CodechalDecodeHevcG12::SetFrameStates,600,0.029,0.007,4.648
CreateVideoDecoder_D3D11_1,4,22.245,11.545,28.743
DestroyVideoDecoder_D3D11_1,4,24.084,0.000,65.009
DxvaEncodeHEVC_Create,3,25.644,22.917,28.565
DxvaEncodeHEVC_EndFrame,600,0.001,0.001,0.008
DxvaEncodeHEVC_Execute,1200,0.336,0.001,27.614
First Frame Time,1,180.824,180.824,180.824
HEVC_QueryStatusReport,598,0.050,0.011,4.955
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.004,0.002,0.024
VideoDecoderEndFrame_D3D11_1,1200,0.035,0.002,0.121
VideoDecoderSubmitBuffers_D3D11_1,600,0.707,0.523,9.611
