Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.016
CodechalDecode::Execute,600,0.545,0.365,11.195
CodechalDecodeHevcG12::DecodeStateLevel,1200,0.191,0.113,6.632
CodechalDecodeHevcG12::SetFrameStates,600,0.064,0.023,5.913
CreateVideoDecoder_D3D11_1,1,517.550,517.550,517.550
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,571.884,571.884,571.884
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.002,0.018
VideoDecoderEndFrame_D3D11_1,600,0.065,0.040,0.139
VideoDecoderSubmitBuffers_D3D11_1,600,0.561,0.381,11.237
