Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,11708,0.001,0.001,0.054
CodechalDecode::Execute,11708,0.230,0.178,1.253
CodechalDecodeHevcG12::DecodeStateLevel,23416,0.069,0.024,0.703
CodechalDecodeHevcG12::SetFrameStates,11708,0.008,0.005,0.477
CreateVideoDecoder_D3D11_1,1,17.217,17.217,17.217
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,312.216,312.216,312.216
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,11708,0.002,0.001,0.112
VideoDecoderEndFrame_D3D11_1,11708,0.064,0.034,0.149
VideoDecoderSubmitBuffers_D3D11_1,11708,0.245,0.188,1.398
