Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,2002,0.002,0.001,0.019
CodechalDecode::Execute,2002,0.276,0.210,2.389
CodechalDecodeHevcG12::DecodeStateLevel,4004,0.084,0.030,2.085
CodechalDecodeHevcG12::SetFrameStates,2002,0.009,0.006,0.405
CreateVideoDecoder_D3D11_1,4,22.737,15.519,25.893
DestroyVideoDecoder_D3D11_1,4,46.460,0.000,154.852
DxvaEncodeHEVC_Create,3,24.976,23.599,25.717
DxvaEncodeHEVC_EndFrame,2000,0.001,0.001,0.011
DxvaEncodeHEVC_Execute,4002,0.480,0.001,27.486
First Frame Time,1,169.997,169.997,169.997
HEVC_QueryStatusReport,2000,0.027,0.011,1.897
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,2002,0.003,0.001,0.011
VideoDecoderEndFrame_D3D11_1,4002,0.032,0.002,0.172
VideoDecoderSubmitBuffers_D3D11_1,2002,0.295,0.224,2.407
