Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.011
CodechalDecode::Execute,600,0.559,0.353,19.459
CodechalDecodeHevcG12::DecodeStateLevel,1200,0.196,0.110,8.699
CodechalDecodeHevcG12::SetFrameStates,600,0.068,0.022,6.442
CreateVideoDecoder_D3D11_1,1,21.131,21.131,21.131
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,71.180,71.180,71.180
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.002,0.013
VideoDecoderEndFrame_D3D11_1,600,0.065,0.043,0.117
VideoDecoderSubmitBuffers_D3D11_1,600,0.576,0.369,19.475
