Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,300,0.002,0.001,0.015
CodechalDecode::Execute,300,0.294,0.223,1.243
CodechalDecodeHevcG12::DecodeStateLevel,600,0.090,0.031,0.889
CodechalDecodeHevcG12::SetFrameStates,300,0.011,0.006,0.410
CreateVideoDecoder_D3D11_1,4,19.919,17.465,22.194
DestroyVideoDecoder_D3D11_1,4,19.947,0.000,43.132
DxvaEncodeHEVC_Create,3,20.331,17.287,22.015
DxvaEncodeHEVC_EndFrame,300,0.001,0.001,0.005
DxvaEncodeHEVC_Execute,602,0.521,0.001,14.397
First Frame Time,1,175.684,175.684,175.684
HEVC_QueryStatusReport,300,0.032,0.012,1.240
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,300,0.003,0.002,0.011
VideoDecoderEndFrame_D3D11_1,600,0.033,0.002,0.205
VideoDecoderSubmitBuffers_D3D11_1,300,0.313,0.237,1.271
