Summary: 
CPU Latency Tag,Hit Count,Average (ms),Minimum (ms),Maximum (ms)
CalcPrivateVideoDecoderOutputViewSize_D3D11_1,600,0.001,0.001,0.011
CodechalDecode::Execute,600,0.771,0.471,16.921
CodechalDecodeVp9::SetFrameStates,600,0.011,0.005,1.077
CodechalDecodeVp9G12::DecodePrimitiveLevel,1800,0.029,0.015,0.300
CodechalDecodeVp9G12::DecodeStateLevel,1800,0.213,0.104,13.688
CreateVideoDecoder_D3D11_1,1,22.433,22.433,22.433
DestroyVideoDecoder_D3D11_1,1,0.000,0.000,0.000
First Frame Time,1,78.122,78.122,78.122
VideoDecoderBeginFrame_WDDM2_4_D3D11_1,600,0.002,0.001,0.071
VideoDecoderEndFrame_D3D11_1,600,0.062,0.046,0.107
VideoDecoderSubmitBuffers_D3D11_1,600,0.786,0.484,16.943
